 Respublika Tyva|Republic of Tuva|Tyva|Tuvinskaya A.S.S.R.|Republic of Tyva;Красноярский край и Республика Тыва
 Kalinin|Kalininskaya|Tverskaya Oblast;Тверская область
 Tobol'sk|Tobol'skaya G.|Tyumenskaya Oblast;Тюменская область, Ханты-Мансийский, Ямало-Ненецкий АО
 Udmurtiya|Udmurt Republic|Udmurtskaya A.S.S.R.|Udmurtskaya Respublika;Удмуртская Республика
 Simbirsk|Simbirskaya G.|Ul'yanovskaya Oblast;Ульяновская область
 Vladimirskaya Oblast;Владимирская область
 Stalingrad|Volgogradskaya Oblast;Волгоградская область
 Vologodskaya Oblast;Вологодская область
 Voronezhskaya Oblast;Воронежская область
 Yamalo-Nenetskiy A. Okrug;Тюменская область, Ханты-Мансийский, Ямало-Ненецкий АО
 Yaroslavskaya;Ярославская область
 Den jodiske autonome oblasten|Evrey|Jewish A.Obl.|Yahudi|Yevreyskaya A.Obl.|Evreyskaya AOb;Хабаровский край и Еврейский АО
 Sebastopol;Республика Крым и г. Севастополя
 Crimee|Crimeia|Krim|Krymskaya Respublika|Respublika Krym;Республика Крым и г. Севастополя
 Krasnoyarskiy Kray|Yeniseisk|Yeniseyskaya G.;Красноярский край и Республика Тыва
 Irkutskaya Oblast;Иркутская область
 Zabaikalskiy Krai;Забайкальский край
 Kami??atka|Kamchatskaya Oblast;Камчатский край
 Molotov|Permskaya Oblast;Пермский край
